path,line,lang,kind,status,component
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,439,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,440,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,111,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,112,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,139,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,146,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,788,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,845,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,991,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,992,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,993,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,994,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,995,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,996,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,997,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,998,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,999,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,1000,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,1116,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,1117,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,1268,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,1269,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,2132,coq,admit,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/MultiStepInversion.v,568,coq,axiom,inactive,UNMAPPED
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,265,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,266,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,319,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,342,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,343,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,367,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,368,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,921,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,922,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1033,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1038,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1041,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1281,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1306,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1318,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1330,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1342,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1354,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1366,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1378,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1398,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,1561,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
