kind,symbol,file,line,context_decl,detail
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/StandardLibrary.v,10,,Require Import Coq.Logic.FunctionalExtensionality.
ParameterDecl,NANOS_PER_SEC,02_FORMAL/coq/domains/StandardLibrary.v,351,,Parameter NANOS_PER_SEC : nat.
ParameterDecl,NANOS_PER_SEC_pos,02_FORMAL/coq/domains/StandardLibrary.v,352,,Parameter NANOS_PER_SEC_pos : NANOS_PER_SEC > 0.
ParameterUsage,NANOS_PER_SEC,02_FORMAL/coq/domains/StandardLibrary.v,352,,Parameter NANOS_PER_SEC_pos : NANOS_PER_SEC > 0.
ParameterUsage,NANOS_PER_SEC,02_FORMAL/coq/domains/StandardLibrary.v,362,,(dur_secs d1 + dur_secs d2 + total_nanos / NANOS_PER_SEC)
ParameterUsage,NANOS_PER_SEC,02_FORMAL/coq/domains/StandardLibrary.v,363,,(total_nanos mod NANOS_PER_SEC).
ParameterUsage,NANOS_PER_SEC,02_FORMAL/coq/domains/StandardLibrary.v,937,P_001_22,dur_nanos (duration_add d1 d2) < NANOS_PER_SEC.
ParameterUsage,NANOS_PER_SEC_pos,02_FORMAL/coq/domains/StandardLibrary.v,943,P_001_22,pose proof NANOS_PER_SEC_pos.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/TestingQA.v,10,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/TimingSecurity.v,14,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/TimingSecurity.v,18,,Require Import Coq.Logic.Classical_Prop.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/TotalStackFoundation.v,10,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/TranslationValidation.v,11,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/U001_RuntimeGuardian.v,11,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/VerifiedHardware.v,11,,Require Import Coq.Logic.FunctionalExtensionality.
ParameterDecl,argon2id_hash,02_FORMAL/coq/domains/VerifiedIdentity.v,134,list_eq_sound,Parameter argon2id_hash : list nat -> list nat -> Argon2Params -> list nat.
ParameterUsage,argon2id_hash,02_FORMAL/coq/domains/VerifiedIdentity.v,139,list_eq_sound,argon2id_hash pw salt params = argon2id_hash pw salt params.
ParameterUsage,argon2id_hash,02_FORMAL/coq/domains/VerifiedIdentity.v,143,list_eq_sound,pw1 <> pw2 -> argon2id_hash pw1 salt params <> argon2id_hash pw2 salt params.
ParameterUsage,argon2id_hash,02_FORMAL/coq/domains/VerifiedIdentity.v,672,AA_001_10_password_preimage_resistant,argon2id_hash candidate salt params = hash ->
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/VerifiedInfra.v,12,,Require Import Coq.Logic.Classical_Prop.
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/VerifiedIsolation.v,12,,Require Import Coq.Logic.Classical_Prop.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/VerifiedMicrokernel.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/VerifiedNetwork.v,13,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/VerifiedProtocols.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/W001_VerifiedMemory.v,11,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/X001_ConcurrencyModel.v,11,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/ZKSTARKSecurity.v,27,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/mobile_os/SystemArchitecture.v,16,,Require Import Coq.Logic.Classical_Prop.
