scope,file,language,line,type,name
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,221,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,222,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,402,Axiom,step_deterministic
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,409,Axiom,fundamental_lemma
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,418,Axiom,subst_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,423,Axiom,lc_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,429,Axiom,value_is_lc
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,435,Axiom,val_rel_n_monotone
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,442,Axiom,val_rel_n_base
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,449,Axiom,multi_ctx_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,455,Axiom,ST_Declassify_Ctx
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,461,Axiom,declassify_ctx_preserves_rel
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,115,Axiom,subst_rho_declassify_dist
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,119,Axiom,fundamental_lemma
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,127,Axiom,val_rel_secret_unwrap
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,139,Axiom,exp_rel_n_unfold
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,156,Axiom,declassify_eval
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,162,Axiom,lc_declassify
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,166,Axiom,exp_rel_n_mono
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,172,Axiom,val_rel_n_mono
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,269,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,271,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,275,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,276,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,332,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,335,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,348,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,349,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,178,Axiom,declassify_value_related
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,232,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,233,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,253,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,254,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,123,Axiom,has_type
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,323,Axiom,store_contains_values
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,326,Axiom,store_rel_same_domain
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,332,Axiom,store_well_typed
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,340,Axiom,fundamental_lemma
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,347,Axiom,fundamental_ref_produces_typed_loc
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,360,Axiom,deref_eval_structure
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,132,Axiom,store_ty_fresh_loc_none
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,439,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,440,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,111,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,112,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,139,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,146,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,788,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,845,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,991,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,992,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,993,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,994,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,995,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,996,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,997,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,998,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,999,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1000,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1116,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1117,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1268,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1269,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,2132,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/MultiStepInversion.v,coq,568,Axiom,store_contains_values
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,265,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,266,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,319,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,342,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,343,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,367,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,368,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,921,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,922,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1033,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1038,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1041,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1281,Axiom,val_rel_n_to_val_rel
