file,language,line,type,name
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,435,Axiom,val_rel_n_monotone
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,442,Axiom,val_rel_n_base
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,449,Axiom,multi_ctx_declassify
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,455,Axiom,ST_Declassify_Ctx
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,461,Axiom,declassify_ctx_preserves_rel
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,115,Axiom,subst_rho_declassify_dist
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,119,Axiom,fundamental_lemma
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,127,Axiom,val_rel_secret_unwrap
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,139,Axiom,exp_rel_n_unfold
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,156,Axiom,declassify_eval
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,162,Axiom,lc_declassify
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,166,Axiom,exp_rel_n_mono
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,172,Axiom,val_rel_n_mono
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,269,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,271,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,275,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,276,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,332,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,335,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,348,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,349,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,178,Axiom,declassify_value_related
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,232,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,233,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,253,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,254,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,123,Axiom,has_type
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,323,Axiom,store_contains_values
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,326,Axiom,store_rel_same_domain
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,332,Axiom,store_well_typed
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,340,Axiom,fundamental_lemma
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,347,Axiom,fundamental_ref_produces_typed_loc
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,360,Axiom,deref_eval_structure
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,132,Axiom,store_ty_fresh_loc_none
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,439,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,440,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,111,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,112,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,139,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,146,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,788,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,845,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,991,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,992,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,993,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,994,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,995,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,996,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,997,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,998,admit tactic,
